"sep=;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
post_name;post_title;post_status;post_content;post_excerpt;post_author;post_parent;post_date;comment_status;ping_status;post_image;ait-items;ait-locations;subtitle;featuredItem;headerImage;headerHeight;address;latitude;longitude;streetview;telephone;telephoneAdditional@number;email;showEmail;contactOwnerBtn;web;webLinkLabel;displayOpeningHours;openingHoursMonday;openingHoursTuesday;openingHoursWednesday;openingHoursThursday;openingHoursFriday;openingHoursSaturday;openingHoursSunday;openingHoursNote;displaySocialIcons;socialIconsOpenInNewWindow;socialIcons@icon;socialIcons@link;displayGallery;gallery@title;gallery@image;displayFeatures;features@icon;features@text;features@desc
esther-htusan;Esther Htusan;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/766163226451206144/GFqN8CFW_400x400.jpg;world|journalism|journalist;;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-facebook|;http://twitter.com/estherhtusan11|https://facebook.com/esther.htusan;1;;;0;;;
nan-tin-htwe;Nan Tin Htwe;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/2819255945/e45c35b8d49a038c7c6161f76fed1a9e_400x400.jpeg;world|journalism|journalist;southeast-asia;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-facebook|fa-linkedin|;http://twitter.com/htwenge|https://facebook.com/htwenge.nge|https://linkedin.com/in/nantinhtwe;1;;;0;;;
yousong-hu;Yousong Hu;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://www.gravatar.com/avatar/?d=mm&s=256;world|journalism|journalist;;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;;;1;;;0;;;
stuart-hughes;Stuart Hughes;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/378800000045649043/11ffabdae369c4ae7667ce3b12aa034c_400x400.jpeg;world|journalism|journalist;united-kingdom;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-linkedin|;http://twitter.com/stuartdhughes|https://linkedin.com/in/stuart-hughes-a1aa715b;1;;;0;;;
sylvia-hui;Sylvia Hui;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/1312427152/headshot_400x400.jpg;world|journalism|journalist;united-kingdom;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-facebook|fa-linkedin|;http://twitter.com/sylviahui|https://facebook.com/sylvia.hui|https://linkedin.com/in/sylviahui|https://flickr.com/people/6699392@N5;1;;;0;;;
jonah-hull;Jonah Hull;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/427129774772072448/XjwxRgoZ_400x400.jpeg;world|journalism|journalist;united-kingdom;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-linkedin|;http://twitter.com/jonahhull|https://linkedin.com/in/jonah-hull-5a53846;1;;;0;;;
tim-hume;Tim Hume;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/720878571967741952/SPz-RAd0_400x400.jpg;world|journalism|journalist;china;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-linkedin|;http://twitter.com/tim_hume|https://linkedin.com/in/tim-hume-8b171531;1;;;0;;;
conor-humphries-4;Conor Humphries;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/741613454813999104/NNbWj4Ru_400x400.jpg;world|journalism|journalist;ireland;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-linkedin|;http://twitter.com/Conorhumphries|https://ie.linkedin.com/pub/conor-humphries/b/51/8b3;1;;;0;;;
alexander-hunter;Alexander Hunter;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/510441377012789248/YWrq1lsq_400x400.jpeg;world|journalism|journalist;;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-linkedin|;http://twitter.com/AlexanderCNN|https://linkedin.com/pub/alexander-hunter/51/aa8/11b;1;;;0;;;
valerie-hurst;Valerie Hurst;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/737103060611125250/cKfBf9mL_400x400.jpg;world|journalism|journalist;united-states|united-states-regional;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-facebook|fa-linkedin|;http://twitter.com/ValerieHurst|https://facebook.com/vhurstkatu/|https://linkedin.com/in/valerie-hurst-384a1b53;1;;;0;;;
whitney-hurst;Whitney Hurst;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/378800000209772987/6dc85dcec53b321d37e43a44ee207ce7_400x400.jpeg;world|journalism|journalist;;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter;http://twitter.com/whitney_hurst;1;;;0;;;
jaqueline-hurtado;Jaqueline Hurtado;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/378800000750445814/cfe9a41b709df46eb2a8ae2233d69edc_400x400.jpeg;world|journalism|journalist;metro-los-angeles|united-states;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-linkedin|;http://twitter.com/HurtadoCNN|https://linkedin.com/in/jaqueline-hurtado-7a241111;1;;;0;;;
mishal-husain;Mishal Husain;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/1641915046/mishal_400x400.jpg;world|journalism|journalist;united-kingdom;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-linkedin|;http://twitter.com/MishalHusainBBC|https://linkedin.com/in/mishal-husain-97962a3;1;;;0;;;
aya-igarashi;Aya Igarashi;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://www.gravatar.com/avatar/?d=mm&s=256;world|journalism|journalist;;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;;;1;;;0;;;
luiza-ilie;Luiza Ilie;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/2701509087/ada1661a2e3397981d3147fc990eb75f_400x400.jpeg;world|journalism|journalist;;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|;http://twitter.com/LuizaIlie;1;;;0;;;
navbahor-imamova;Navbahor Imamova;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/741077101793714176/AZFXwvBR_400x400.jpg;world|journalism|journalist;united-states;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-facebook|fa-linkedin|fa-youtube;http://twitter.com/Navbahor|https://facebook.com/navbahor.imamova|https://linkedin.com/in/navbahor278|https://youtube.com/user/nortoji;1;;;0;;;
dhania-iman;Dhania Iman;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/707216184010264576/_azLv4Zv_400x400.jpg;world|journalism|journalist;united-states;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-facebook|fa-linkedin|fa-foursquare;http://twitter.com/DhaniaIman|https://facebook.com/dhania.iman|https://linkedin.com/in/dhaniaiman|https://foursquare.com/user/1375189;1;;;0;;;
shotaro-imazu;Shotaro Imazu;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://www.gravatar.com/avatar/?d=mm&s=256;world|journalism|journalist;;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;;;1;;;0;;;
chris-irvine;Chris Irvine;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/3129942030/da70b0424555367e0184f2c736e9963b_400x400.jpeg;world|journalism|journalist;united-kingdom;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-facebook|fa-linkedin|;http://twitter.com/chrisirvine86|https://facebook.com/profile.php?id=3711137|https://linkedin.com/pub/chris-irvine/33/364/3b;1;;;0;;;
eve-irvine;Eve Irvine;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/1125672341/EVE_irvine__0-00-03-13__400x400.jpg;world|journalism|journalist;france;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-facebook|fa-linkedin|;http://twitter.com/EveF24|http://facebook.com/eve.irvine.1|https://linkedin.com/in/eveirvine;1;;;0;;;
kenkichi-ishiyama;Kenkichi Ishiyama;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://www.gravatar.com/avatar/?d=mm&s=256;world|journalism|journalist;;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;;;1;;;0;;;
jeff-israely;Jeff Israely;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/552202964283052032/47eJLSPI_400x400.png;world|journalism|journalist;france;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-facebook|fa-linkedin|fa-foursquare;http://twitter.com/jeffisraely|https://facebook.com/jeff.israely|https://linkedin.com/in/jeffisraely|https://flickr.com/people/jeffisraely|https://foursquare.com/user/3729471;1;;;0;;;
david-iversen;David Iversen;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/727842418498875392/ibnK7SFN_400x400.jpg;world|journalism|journalist;united-states-regional;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-facebook|fa-linkedin|fa-instragram;http://twitter.com/daviivers|https://facebook.com/DavidIversenWTNH/|https://linkedin.com/in/davidiversen|https://instagram.com/david.iversen;1;;;0;;;
mike-ives;Mike Ives;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/654967050566172673/02aI8MCU_400x400.jpg;world|journalism|journalist;;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|;http://twitter.com/mikeives;1;;;0;;;
joel-iwanaga;Joel Iwanaga;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/1375727971/joel6_400x400.jpg;world|journalism|journalist;united-states|united-states-regional;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-facebook|;http://twitter.com/joeliwanaga|https://facebook.com/joel.iwanaga.5;1;;;0;;;
shirin-jaafari;Shirin Jaafari;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/754329279576567808/oNtR-qT3_400x400.jpg;world|journalism|journalist;united-states;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|;http://twitter.com/Shirinj;1;;;0;;;
hala-jaber;Hala Jaber;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/638835093579038720/vcoyswT-_400x400.jpg;world|journalism|journalist;united-kingdom;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|;http://twitter.com/HalaJaber;1;;;0;;;
leela-jacinto;Leela Jacinto;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/3217663671/48affb58de9203ca4f1e2458e8633dde_400x400.jpeg;world|journalism|journalist;france;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-linkedin|;http://twitter.com/leelajacinto|https://linkedin.com/in/leela-jacinto-9b47813;1;;;0;;;
sam-jahan;SAM Jahan;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://s3.amazonaws.com/media.muckrack.com/profile/images/1313113/dddf.jpg.256x256_q100_crop-smart.jpg;world|journalism|journalist;;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-facebook|fa-linkedin|fa-instragram;http://twitter.com/samjahanAFP|https://facebook.com/samthejourno|https://bd.linkedin.com/in/s-a-m-jahan-557188|https://instagram.com/papabearj/;1;;;0;;;
george-jahn;George Jahn;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/553961240259596289/-DIauccj_400x400.jpeg;world|journalism|journalist;;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-linkedin|;http://twitter.com/georgejahn|https://linkedin.com/in/george-jahn-b1928123;1;;;0;;;
mohammed-jamjoom;Mohammed Jamjoom;publish;;;1;0;2016-09-13 08:00:00;closed;closed;https://pbs.twimg.com/profile_images/561415826813644800/YZut61a0_400x400.jpeg;world|journalism|journalist;middle-east|russia;;0;;;;1;1;0;;;;0;1;;;0;;;;;;;;;1;1;fa-twitter|fa-facebook|fa-linkedin|fa-instragram|fa-google-plus;http://twitter.com/MIJamjoom|http://facebook.com/MIJamjoom/?ref|https://linkedin.com/pub/mohammed-jamjoom/12/4a9/56|http://instagram.com/mohammedjamjoo|https://plus.google.com/1745698561585786363/about;1;;;0;;;
